attraction_id,name,country,province,city,price,rating,latitude,longitude,sentiment_y,popularity,normalized_popularity,sentiment_rating,popularity_rating,price_level
1614,full_day_bike_rental,canada,quebec,quebec_city,1,5.0,46.8135797,-71.2017245,0.38543209876543205,3,-0.3866508394404849,Good,Not Popular,$
1615,old_montreal_ghost_walking_tour,canada,quebec,montreal,1,4.0,45.5025925,-73.5551673,0.2669309163059163,12,-0.22491080452363257,OK,Not Popular,$
1617,victoria_highlight_city_tour,canada,british_columbia,vancouver_island,1,4.0,48.4280462,-123.368555,0.3612053571428571,2,-0.40462195443124627,Good,Not Popular,$
1618,rideau_canal_cruise,canada,ontario,ottawa,1,4.0,45.4558462,-75.6950408,0.34603403017313167,21,-0.06317076960678025,OK,Popular,$
1620,90-minute_premier_horse-drawn_carriage_tour,canada,british_columbia,vancouver_island,3,5.0,48.420724,-123.3712539,0.3541666666666667,3,-0.3866508394404849,Good,Not Popular,$$$
1626,4_hour_bike_rental_in_quebec_city,canada,quebec,quebec_city,1,5.0,46.8135797,-71.2017245,0.35679761904761903,5,-0.35070860945896215,Good,Not Popular,$
1628,4_hour_electric_bike_rental_in_quebec_city,canada,quebec,quebec_city,1,5.0,46.8135797,-71.2017245,0.7250000000000001,1,-0.42259306942200764,Very Good,Not Popular,$
1633,scooter_rental_on_ile_d'orleans_(for_1_or_2_people),canada,quebec,quebec_city,2,5.0,46.8614081,-71.0777464,0.46354166666666663,2,-0.40462195443124627,Very Good,Not Popular,$$
1634,electric_bike_rental_on_ile_d'orleans,canada,quebec,quebec_city,1,5.0,46.8614081,-71.0777464,0.5307291666666667,4,-0.3686797244497235,Very Good,Not Popular,$
1636,full-day_mont-tremblant_rouge_river_rafting_tour_with_lunch,canada,quebec,mont_tremblant,2,5.0,46.2132909,-74.5849902,0.36,1,-0.42259306942200764,Good,Not Popular,$$
1641,the_great_squamish_day_trip_from_vancouver,canada,british_columbia,vancouver,2,5.0,43.7431803,-79.3027994,0.3283333333333333,1,-0.42259306942200764,OK,Not Popular,$$
1643,calgary_bow_river_valley_90-minute_segway_adventure,canada,alberta,calgary,2,4.5,53.5408849,-113.4827747,0.3700333333333333,10,-0.2608530345051553,Good,Not Popular,$$
1644,calgary_bow_river_valley_60-minute_segway_adventure,canada,alberta,calgary,1,5.0,53.5408849,-113.4827747,0.26851851851851855,3,-0.3866508394404849,OK,Not Popular,$
1645,calgary_and_banff_mountain_biking_adventure,canada,alberta,calgary,4,5.0,49.2661522,-123.0986103,0.5932142857142857,2,-0.40462195443124627,Very Good,Not Popular,$$$$
1647,niagara_falls_american_side_highlights_tour,canada,ontario,niagara_falls,2,5.0,43.082352,-79.041138,0.42926144403793404,151,0.49393379510682217,Good,Very Popular,$$
1648,private_instagramming_tour_in_vancouver,canada,british_columbia,vancouver,5,1.0,56.130366,-106.346771,0.6714285714285714,1,-0.42259306942200764,Very Good,Not Popular,$$$$$
1649,wet_&_wild_elaho_exhilarator_&_sea_to_sky_gondola_combo_from_squamish,canada,british_columbia,squamish,2,5.0,49.749151,-123.133378,0.4439814814814815,3,-0.3866508394404849,Good,Not Popular,$$
1650,boldt_castle_and_thousand_islands_helicopter_tour,canada,ontario,things_to_do_in_gananoque,2,5.0,44.3474018,-76.1751743,0.4388532003710575,14,-0.18896857454210983,Good,Popular,$$
1655,quebec_city_private_walking_tour_-_the_history_of_french_&_british_america,canada,quebec,quebec_city,2,5.0,46.7561139,-71.1790215,0.41562499999999997,2,-0.40462195443124627,Good,Not Popular,$$
1656,full_day_tour_with_lunch_from_niagara_falls_with_hotel_pickup,canada,ontario,niagara_falls,2,5.0,43.1389513,-79.1334083,0.47021797646797653,13,-0.2069396895328712,Very Good,Not Popular,$$
1658,whistler_day_tour_from_vancouver,canada,british_columbia,vancouver,2,4.0,49.2869235,-123.12216,0.3378306878306878,3,-0.3866508394404849,OK,Not Popular,$$
1660,treetop_adventure_course,canada,british_columbia,whistler,1,5.0,50.1129838,-122.9549289,0.3127430555555556,8,-0.29679526448667803,OK,Not Popular,$
1661,sportif_tour_of_east_ontario_and_west_quebec,canada,ontario,ottawa,2,5.0,45.4245926,-75.6944648,0.5793044077134987,2,-0.40462195443124627,Very Good,Not Popular,$$
1662,craigdarroch_castle_pedicab_tour,canada,british_columbia,vancouver_island,2,4.5,48.4189552,-123.3853958,0.2435277777777778,3,-0.3866508394404849,OK,Not Popular,$$
1663,victorian_gardens_and_seaside_vistas_pedicab_tour,canada,british_columbia,vancouver_island,1,5.0,48.4189552,-123.3853958,0.44761904761904764,2,-0.40462195443124627,Good,Not Popular,$
1666,vancouver_to_victoria_whale_watching_with_return_to_vancouver_by_seaplane,canada,british_columbia,vancouver,5,4.5,49.284751,-123.1394811,0.2777777777777778,1,-0.42259306942200764,OK,Not Popular,$$$$$
1668,niagara_falls_and_niagara-on-the-lake_day_tour_from_toronto,canada,ontario,toronto,2,4.5,45.463769,-73.8233438,0.34195238095238095,5,-0.35070860945896215,OK,Not Popular,$$
1669,"cycling_the_nation's_capital,_self-guided",canada,ontario,ottawa,1,4.0,45.4245926,-75.6944648,0.19186342592592595,6,-0.3327374944682008,OK,Not Popular,$
1670,2-day_whistler_sea_to_sky_tour_from_vancouver,canada,british_columbia,vancouver,2,4.5,49.2788333,-123.1232148,0.3664781746031746,8,-0.29679526448667803,Good,Not Popular,$$
1671,whistler_blackcomb_salmon_bake_dinner_and_jeep_4x4_tour,canada,british_columbia,whistler,2,4.5,50.1133762,-122.954259,0.4283333333333333,1,-0.42259306942200764,Good,Not Popular,$$
1673,kingston_discovery_sightseeing_cruise,canada,ontario,things_to_do_in_kingston,1,3.5,44.2307614,-76.4797292,0.19490079365079363,15,-0.17099745955134846,OK,Popular,$
1675,best_of_ottawa_bike_tour,canada,ontario,ottawa,2,5.0,45.4233882,-75.6963202,0.5284304653679653,12,-0.22491080452363257,Very Good,Not Popular,$$
1676,ottawa_highlights_3_hour_bike_tour,canada,ontario,ottawa,2,5.0,45.4233882,-75.6963202,0.49004345753452894,10,-0.2608530345051553,Very Good,Not Popular,$$
1679,call_of_the_wild_atv_tour,canada,british_columbia,whistler,2,5.0,50.1133762,-122.954259,0.41376355787070074,13,-0.2069396895328712,Good,Not Popular,$$
1680,granville_island_night_photography_tour,canada,british_columbia,vancouver,2,5.0,49.2779117,-123.0986452,0.3844886363636364,3,-0.3866508394404849,Good,Not Popular,$$
